"Your search criteria: Credit Rating Agency= [Capital Intelligence Ratings Ltd]; Time Horizon= [Long term]; Rating type= [Corporate rating]; Period= [1 Jul 2006 - 30 Jun 2016]"


Number of transitions
"BOP / EOP","AAA","AA","A","BBB","BB","B","C","RS","SD","D","Withdrawals"
"AAA","0","0","0","0","0","0","0","0","0","0","0"
"AA","0","3","0","0","0","0","0","0","0","0","0"
"A","0","9","31","4","3","0","0","0","3","0","6"
"BBB","0","0","20","45","8","4","0","0","2","0","32"
"BB","0","0","1","29","42","8","0","0","0","0","19"
"B","0","0","0","0","12","19","1","0","0","0","6"
"C","0","0","0","0","1","0","0","0","0","0","1"
"RS","0","0","0","0","0","0","0","0","0","0","0"
"SD","0","0","0","0","0","0","0","0","0","0","0"
"D","0","0","0","0","0","0","0","0","0","0","0"


Transition rate
"BOP / EOP","AAA","AA","A","BBB","BB","B","C","RS","SD","D","Withdrawals"
"AAA","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"AA","0.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"A","0.00%","16.07%","55.36%","7.14%","5.36%","0.00%","0.00%","0.00%","5.36%","0.00%","10.71%"
"BBB","0.00%","0.00%","18.02%","40.54%","7.21%","3.60%","0.00%","0.00%","1.80%","0.00%","28.83%"
"BB","0.00%","0.00%","1.01%","29.29%","42.42%","8.08%","0.00%","0.00%","0.00%","0.00%","19.19%"
"B","0.00%","0.00%","0.00%","0.00%","31.58%","50.00%","2.63%","0.00%","0.00%","0.00%","15.79%"
"C","0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%","0.00%","50.00%"
"RS","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"SD","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"D","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"


"9 Feb 2020 -   - refer to the CEREP website legal notice"
