"Your search criteria: Credit Rating Agency= [DBRS Ratings Limited]; Time Horizon= [Long term]; Rating type= [Corporate rating]; Period= [1 Jan 2015 - 31 Dec 2016]"


Number of transitions
"BOP / EOP","AAA","AA","A","BBB","BB","B","CCC","CC","C","D","Withdrawals"
"AAA","0","0","0","0","0","0","0","0","0","0","0"
"AA","0","37","12","0","0","0","0","0","0","0","1"
"A","0","1","98","14","0","0","0","0","0","0","12"
"BBB","0","0","1","82","5","1","0","0","0","0","25"
"BB","0","0","0","1","17","1","2","0","0","0","5"
"B","0","0","0","0","0","10","0","0","0","0","4"
"CCC","0","0","0","0","0","0","0","0","0","0","0"
"CC","0","0","0","0","0","0","0","0","0","0","0"
"C","0","0","0","0","0","0","0","0","0","0","1"
"D","0","0","0","0","0","0","0","0","0","0","1"


Transition rate
"BOP / EOP","AAA","AA","A","BBB","BB","B","CCC","CC","C","D","Withdrawals"
"AAA","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"AA","0.00%","66.07%","21.43%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1.79%"
"A","0.00%","0.75%","73.13%","10.45%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","8.96%"
"BBB","0.00%","0.00%","0.83%","68.33%","4.17%","0.83%","0.00%","0.00%","0.00%","0.00%","20.83%"
"BB","0.00%","0.00%","0.00%","3.57%","60.71%","3.57%","7.14%","0.00%","0.00%","0.00%","17.86%"
"B","0.00%","0.00%","0.00%","0.00%","0.00%","71.43%","0.00%","0.00%","0.00%","0.00%","28.57%"
"CCC","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"CC","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"C","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%"
"D","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%"


"9 Feb 2020 -   - refer to the CEREP website legal notice"
